Altium Designer Pick and Place Locations
C:\Users\John\Desktop\altium12\altium12\Project Outputs for Free Documents\Pick Place\Pick Place for PCB_Alpha.txt

========================================================================================================================
File Design Information:

Date:       06-04-21
Time:       14:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer    Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                        
U4_2       Drv8829                 TopLayer SOP65P640X120-28N-GROUND_SINK 3750.000      4325.000      270      ""                                 
R4_15      Res1                    TopLayer C1206                         3650.000      3400.000      360      Resistor                           
C2_4       EMHS250GRA102MKE0S      TopLayer CAP-ELECTRO-KE0               5160.000      4625.000      180      Capacitor                          
C2_3       EMHS250GRA102MKE0S      TopLayer CAP-ELECTRO-KE0               4460.000      350.000       180      Capacitor                          
C4_12      107AXZ016MQ5            TopLayer CAP-ELECTRO-530530            4100.000      4311.614      270      Capacitor                          
C4_9       107AXZ016MQ5            TopLayer CAP-ELECTRO-530530            3125.000      4311.614      270      Capacitor                          
U1_1       ESP32-WROOM-32__16MB_   TopLayer ESP32WROOM32D16MB             4984.646      3180.315      0        "Integrated Circuit"               
C1_6       CL31A226KOHNNNE         TopLayer C1206                         4350.000      3450.000      90       Capacitor                          
R4_14      Res1                    TopLayer C1206                         3650.000      3300.000      360      Resistor                           
U4_1       Drv8829                 TopLayer SOP65P640X120-28N-GROUND_SINK 2775.000      4325.000      270      ""                                 
T3_12      "Mounting Hole"         TopLayer TESTPOINT                     3700.000      900.000       90       "Generic Antenna"                  
T3_11      "Mounting Hole"         TopLayer TESTPOINT                     4400.000      3775.000      0        "Generic Antenna"                  
T3_10      "Mounting Hole"         TopLayer TESTPOINT                     2425.000      3950.000      90       "Generic Antenna"                  
T3_9       "Mounting Hole"         TopLayer TESTPOINT                     5500.000      3775.000      0        "Generic Antenna"                  
T3_8       "Mounting Hole"         TopLayer TESTPOINT                     2900.000      2675.000      0        "Generic Antenna"                  
T3_7       "Mounting Hole"         TopLayer TESTPOINT                     4450.000      1675.000      0        "Generic Antenna"                  
T3_6       "Mounting Hole"         TopLayer TESTPOINT                     2775.000      3950.000      0        "Generic Antenna"                  
T3_5       "Mounting Hole"         TopLayer TESTPOINT                     3950.000      1550.000      0        "Generic Antenna"                  
T3_4       "Mounting Hole"         TopLayer TESTPOINT                     3375.000      2250.000      0        "Generic Antenna"                  
T3_3       "Mounting Hole"         TopLayer TESTPOINT                     4380.000      2230.000      0        "Generic Antenna"                  
T3_2       "Mounting Hole"         TopLayer TESTPOINT                     2900.000      3650.000      0        "Generic Antenna"                  
T3_1       "Mounting Hole"         TopLayer TESTPOINT                     3200.000      3650.000      0        "Generic Antenna"                  
T1_6       "Mounting Hole"         TopLayer TESTPOINT                     5450.000      2500.000      0        "Generic Antenna"                  
T1_5       "Mounting Hole"         TopLayer TESTPOINT                     5250.000      2500.000      0        "Generic Antenna"                  
T1_4       "Mounting Hole"         TopLayer TESTPOINT                     5050.000      2500.000      0        "Generic Antenna"                  
T1_3       "Mounting Hole"         TopLayer TESTPOINT                     4850.000      2500.000      0        "Generic Antenna"                  
T1_2       "Mounting Hole"         TopLayer TESTPOINT                     5725.000      2750.000      0        "Generic Antenna"                  
T1_1       "Mounting Hole"         TopLayer TESTPOINT                     5525.000      2750.000      0        "Generic Antenna"                  
